"V1" "V2"
0 0.456441001184054
0.1 0.442769973633164
0.2 0.429098946082273
0.3 0.415427918531383
0.4 0.401756890980492
0.5 0.388085863429602
0.6 0.374414835878711
0.7 0.360743808327821
0.8 0.34707278077693
0.9 0.333390302739219
1 0.319260207522171
1.1 0.305130112305124
1.2 0.291000017088076
1.3 0.276575091369041
1.4 0.262105174813617
1.5 0.247635258258193
1.6 0.232955803838409
1.7 0.218221104694661
1.8 0.203486405550913
1.9 0.188571278587956
2 0.173622161488521
2.1 0.158665253094869
2.2 0.143537303222842
2.3 0.128409353350814
2.4 0.113065539714759
2.5 0.0971492681155399
2.6 0.0810529754366341
2.7 0.0646405748704762
2.8 0.0480543134568047
2.9 0.0312676712998178
3 0.0142656483362489
3.1 -0.00286674946267629
3.2 -0.0202358286617517
3.3 -0.0377250569366226
3.4 -0.0553923350493881
3.5 -0.0732151310855068
3.6 -0.0911596996329537
3.7 -0.109288669215029
3.8 -0.127498264540576
3.9 -0.145902426264111
4 -0.164395962292952
4.1 -0.183017518113813
4.2 -0.201784776823513
4.3 -0.220630183481255
4.4 -0.240469113622426
4.5 -0.260985260774401
4.6 -0.281830628879423
4.7 -0.302986870598379
4.8 -0.324461183254605
4.9 -0.346197394861002
5 -0.368184056062229
5.1 -0.390413357776191
5.2 -0.412881382259132
5.3 -0.435592699319402
5.4 -0.458522733505873
5.5 -0.481664779732096
5.6 -0.505013565811634
5.7 -0.528563774112478
5.8 -0.552310046941562
5.9 -0.576246997993351
6 -0.600369226479749
6.1 -0.624671332012473
6.2 -0.649147929165036
6.3 -0.674061604282888
6.4 -0.700334419226982
6.5 -0.727600240685583
6.6 -0.755384172215965
6.7 -0.783588653157591
6.8 -0.812183582873806
6.9 -0.84115494132387
7 -0.870480644873756
7.1 -0.900157600870316
7.2 -0.930178030522899
7.3 -0.960532113849411
7.4 -0.991211128470174
7.5 -1.02221184827824
7.6 -1.05352738720782
7.7 -1.08515166069154
7.8 -1.11708063953791
7.9 -1.14931282955774
8 -1.18184544219229
8.1 -1.21483274044511
8.2 -1.2499600904315
8.3 -1.28674772266806
8.4 -1.32495916758679
8.5 -1.36428060445468
8.6 -1.40397207279137
8.7 -1.44384021665114
8.8 -1.48400919684125
8.9 -1.52453343326566
9 -1.56544322118359
9.1 -1.60675202661199
9.2 -1.64847487456464
9.3 -1.69060948379154
9.4 -1.73316016956144
9.5 -1.77612261475249
9.6 -1.81949699289142
9.7 -1.86328756943518
9.8 -1.90749129696167
9.9 -1.95210131501609
10 -1.99714432916344
